claim_id,claim,decision,evidence,source_table,script,input_provenance,manuscript_action,archived_source_table
C01,"higher endpoint Hallmark raw, rank and LOSO transfer metrics",supported,"Hallmarks show higher endpoint raw concordance, Spearman correlation and LOSO balanced accuracy; chance-adjusted advantage varies by metric",reports/phase_reproducibility_calibration_2026_07/gene_program_metric_comparison.tsv,scripts/21_reproducibility_metric_calibration.py,phase_A_metric_calibration_provenance.json,retain with endpoint and metric qualifiers,data/gene_program_metric_comparison.csv
C02,uniform between-timepoint Hallmark advantage,not supported,"Between-timepoint raw concordance is lower for Hallmarks, LOSO balanced accuracy is similar and rank correlation is higher",reports/phase_reproducibility_calibration_2026_07/equal_feature_count_diagnostic.tsv,scripts/21_reproducibility_metric_calibration.py,phase_A_metric_calibration_provenance.json,state metric-dependent absence of a uniform advantage,data/equal_feature_count_diagnostic.csv
C03,calibrated or intrinsic program superiority,prohibited,No focal program/contrast passed all exchangeability diagnostics,reports/phase_final_calibration_and_v5_2026_07/matched_null_level3_module_block_expansion_decision.tsv,scripts/26_matched_gene_set_null_pilot.py;scripts/27_level3_module_block_refinement.py,matched_null_level3_module_block_provenance.json,delete,data/matched_null_expansion_decision.csv
C04,pathway evidence is method-dependent,supported,Only centered-rank d1 produced meta-FDR support; magnitude and GSEMA differ,reports/phase_final_calibration_and_v5_2026_07/mtorc1_context_matrix.tsv,scripts/23_pathway_effect_meta.py;scripts/25_gsema_mkh_meta.py,pathway_effect_meta_provenance.json;gsema_benchmark_provenance.json,retain,data/mtorc1_context_matrix.csv
C05,four focal programs contain fixed-membership conditionally stable members,supported exploratory,Original leading-edge membership was retained during bootstrap and jackknife; members were not independently reselected,reports/phase_final_calibration_and_v5_2026_07/stable_driver_core.tsv,scripts/28_hallmark_myc_stability_audit.py,hallmark_myc_stability_provenance.json,retain conditional-member language; do not call cores or drivers,data/conditional_member_stability.csv
C06,hypoxia is composition-independent,prohibited,One FDR-supported composition association; adjustment directions retained only in two labeled cohorts,reports/phase_final_calibration_and_v5_2026_07/composition_program_association.tsv,scripts/29_composition_ontology_sensitivity.py,composition_ontology_provenance.json,replace with composition-associated but directionally robust,data/composition_program_association.csv
C07,MYC is partly separable from E2F/G2M membership,inferred with limits,Rank-based de-overlap retains directions; most residual models not evaluable,reports/phase_final_calibration_and_v5_2026_07/myc_deoverlap_results.tsv;reports/phase_final_calibration_and_v5_2026_07/myc_residual_models.tsv,scripts/28_hallmark_myc_stability_audit.py,hallmark_myc_stability_provenance.json,retain qualified,data/myc_deoverlap_results.csv;data/myc_residual_models.csv
C08,MYC is cell-cycle independent,prohibited,30/36 residual contrasts fail frozen design/VIF gates,reports/phase_final_calibration_and_v5_2026_07/myc_residual_models.tsv,scripts/28_hallmark_myc_stability_audit.py,hallmark_myc_stability_provenance.json,delete,data/myc_residual_models.csv
C09,mTORC1 is context- and method-sensitive,supported,"Score, astrocyte, genotype and composition rows disagree",reports/phase_final_calibration_and_v5_2026_07/mtorc1_context_matrix.tsv,scripts/30_mtorc1_context_matrix.py,mtorc1_context_provenance.json,retain,data/mtorc1_context_matrix.csv
C10,Plexin-B1 directly regulates or acts through mTORC1,prohibited,Within-family interaction enrichment cannot establish causal regulation or mediation,reports/phase_final_calibration_and_v5_2026_07/mtorc1_context_matrix.tsv,scripts/30_mtorc1_context_matrix.py,mtorc1_context_provenance.json,delete,data/mtorc1_context_matrix.csv
C11,GSE304361 validates temporal attenuation,prohibited,Dataset lacks day 1,reports/phase_reproducibility_calibration_2026_07/estimability_matrix.tsv,scripts/21_reproducibility_metric_calibration.py,phase_A_metric_calibration_provenance.json,call endpoint stress test only,data/estimability_matrix.csv
C12,nominal P establishes replication or enrichment establishes activation,prohibited,Evidence language rule,reports/phase_final_calibration_and_v5_2026_07/final_calibration_protocol_2026-07-29.md,manual claim audit,not applicable,delete globally,provenance/final_calibration_protocol_2026-07-29.md
