figure_id,panel,source_data_file,upstream_analysis_file,generating_script,software,seed,expected_output_filename,frozen_output_sha256,reproducibility_status,notes
Fig1,analytical sample reconstruction and estimability,data/estimability_matrix.csv; tables/Supplementary_Table_S1_Analytical_Samples.csv; data/GSE304361_program_support_summary.csv,00_build_sample_metadata.py; 03b_qc_pseudobulk.py; 17_audit_geo_candidates.py; 21_reproducibility_metric_calibration.py,NOT_INCLUDED_HISTORICAL_PRESENTATION_ASSEMBLY,Python 3.14.2; Matplotlib 3.10.8,,Fig1.tif,,SOURCE_DATA_ARCHIVED,Final TIFF assembly depends on project-level plotting infrastructure not included in the minimal public release.
Fig2,gene/Hallmark transfer,data/sign_identity_observed_metrics.csv; data/sign_identity_permutation_summary.csv; data/GSE47681_frozen_reference_comparison.csv,67_postlock_sign_identity_calibration.py; 69_gse47681_hallmark_stress_test.py,NOT_INCLUDED_HISTORICAL_PRESENTATION_ASSEMBLY,Python 3.14.2; Matplotlib 3.10.8,20260803,Fig2.tif,,SOURCE_DATA_ARCHIVED,GSE47681 is an orthogonal cross-platform context evaluation and is not formal external validation.
Fig3,effect-strength sensitivity,data/effect_strength_summary.csv; data/effect_strength_stratified_metrics.csv; data/effect_strength_overlap_window_metrics.csv,70_effect_strength_calibration.py,NOT_INCLUDED_HISTORICAL_PRESENTATION_ASSEMBLY,Python 3.14.2; Matplotlib 3.10.8,,Fig3.tif,,SOURCE_DATA_ARCHIVED,Descriptive sensitivity analysis; not a causal separation of signal strength and estimand.
Fig4,method-specific Hallmark support,data/pathway_meta_mkh.csv; data/gsema_mkh_random_effects.csv; data/hallmark_gsea_by_study.csv,06e_hallmark_gsea.py; 23_pathway_effect_meta.py; 24_gsema_benchmark.R; 25_gsema_mkh_meta.py,NOT_INCLUDED_HISTORICAL_PRESENTATION_ASSEMBLY,Python 3.14.2; R 4.4.2; Matplotlib 3.10.8,,Fig4.tif,,SOURCE_DATA_ARCHIVED,Small-k scoring methods and preranked GSEA are distinct estimands.
Fig5,focal-program context-dependent transfer profiles,data/GSE304361_program_support_summary.csv; data/composition_program_association.csv; data/hallmark_gsea_by_study.csv; data/pathway_meta_mkh.csv; data/myc_deoverlap_results.csv; data/mtorc1_context_matrix.csv,06e_hallmark_gsea.py; 23_pathway_effect_meta.py; 28_hallmark_myc_stability_audit.py; 29_composition_ontology_sensitivity.py; 30_mtorc1_context_matrix.py,NOT_INCLUDED_HISTORICAL_PRESENTATION_ASSEMBLY,Python 3.14.2; R 4.4.2; Matplotlib 3.10.8,,Fig5.tif,,SOURCE_DATA_ARCHIVED,Context profiles are descriptive and are not a therapeutic ranking.
FigS1,composition sensitivity,data/composition_program_association.csv; data/mtorc1_context_matrix.csv,29_composition_ontology_sensitivity.py; 30_mtorc1_context_matrix.py,NOT_INCLUDED_HISTORICAL_PRESENTATION_ASSEMBLY,Python 3.14.2,,FigS1,,SOURCE_DATA_ARCHIVED,Sensitivity analysis, not a causal decomposition.
FigS2,estimability,data/estimability_flow_matrix.csv; data/estimability_matrix.csv; data/GSE205029_contrast_estimability.csv,21_reproducibility_metric_calibration.py; 65_audit_gse205029_temporal_eligibility.py,NOT_INCLUDED_HISTORICAL_PRESENTATION_ASSEMBLY,Python 3.14.2,,FigS2,,SOURCE_DATA_ARCHIVED,GSE205029 contributes eligibility assessment only.
FigS3,equal-feature-count diagnostic,data/equal_feature_count_diagnostic.csv,21_reproducibility_metric_calibration.py,NOT_INCLUDED_HISTORICAL_PRESENTATION_ASSEMBLY,Python 3.14.2,,FigS3,,SOURCE_DATA_ARCHIVED,Compares 50 Hallmarks with 50 individual genes; not a matched gene-set null.
FigS4,GSE47681 QC,data/GSE47681_RMA_PCA_scores.csv; data/GSE47681_RMA_PCA_variance.csv; data/GSE47681_RLE_diagnostics.csv; data/GSE47681_RMA_sample_correlations.csv,68_gse47681_raw_rma_limma.R,NOT_INCLUDED_HISTORICAL_PRESENTATION_ASSEMBLY,R 4.4.2; affy 1.84.0; limma 3.62.2,,FigS4,,REPRODUCIBLE_WITH_PUBLIC_THIRD_PARTY_INPUT,Requires 13 public WT CEL files; CEL files are not redistributed.
FigS5,conditional member stability,data/conditional_member_stability.csv; data/leading_edge_pairwise_calibrated.csv; data/myc_deoverlap_results.csv,06f_leading_edge_replicability.py; 28_hallmark_myc_stability_audit.py,NOT_INCLUDED_HISTORICAL_PRESENTATION_ASSEMBLY,Python 3.14.2,,FigS5,,SOURCE_DATA_ARCHIVED,Stability is conditional on original leading-edge membership.
