archive_path,table_purpose,row_unit,key_columns,interpretation_limit
data/estimability_matrix.csv,Contrast estimability by branch and feature scale,branch x scale x contrast,"branch, scale, contrast_id",Unavailable contrasts and biological compartments are not imputed.
data/gene_program_metric_comparison.csv,Aligned gene-versus-Hallmark concordance and leave-one-study-out transfer metrics,contrast x metric,"contrast_id, metric",Descriptive cross-study metrics; higher values do not establish biological mechanism.
data/equal_feature_count_diagnostic.csv,"10,000-draw comparison with random 50-gene subsets",contrast x metric,"contrast_id, metric",Feature-count comparison only; not a correlation-matched gene-set null.
data/pathway_meta_mkh.csv,Sample-level Hallmark meta-analysis,program x contrast x scoring method,"program, contrast_id, method",Small-k synthesis with modified Hartung-Knapp uncertainty; non-significance is not evidence of no effect.
data/hallmark_gsea_by_study.csv,Study-level preranked GSEA supporting Figures 4 and 5,program x dataset x contrast,"term, dataset, contrast_id",Study-level preranked enrichment support; not directly equivalent to sample-level meta-analysis significance.
data/gsema_mkh_random_effects.csv,GSEMA methods under project small-k estimator,pathway x contrast x method,"pathway, contrast_id, method",Benchmark scores analyzed under the project small-k estimator; native GSEMA inference is separate.
data/matched_null_exchangeability_diagnostics.csv,Matched-null exchangeability diagnostics,program x contrast x diagnostic,"program, contrast_id, diagnostic",Null-analysis diagnostics only; no empirical program advantage is valid unless every comparability criterion passes.
data/matched_null_expansion_decision.csv,Documented decision not to expand matched-null combinations that did not meet comparability criteria,program x contrast,"program, contrast_id","No combination qualified for 10,000-draw expansion."
data/leading_edge_pairwise_calibrated.csv,Pairwise leading-edge overlap and random-subset calibration,program x contrast x study pair,"term, contrast_id",Leading-edge overlap is contrast- and study-pair-specific.
data/conditional_member_stability.csv,Fixed-membership conditional member stability classification,program member x contrast,"term, gene, stability_class","Legacy source filename may be retained for provenance; final interpretation is conditional member stability, not independently validated driver genes."
data/composition_program_association.csv,Composition-PC1 sensitivity results,dataset x program x contrast,"dataset, program, contrast_id",Sensitivity analysis; not causal decomposition.
data/myc_deoverlap_results.csv,MYC scores after E2F/G2M overlap removal,dataset x contrast x method,"dataset, contrast_id, method",Overlap removal tests gene-set membership dependence; it does not establish cell-cycle independence.
data/myc_residual_models.csv,MYC residual-model evaluability and estimates,dataset x model,dataset,"Rows failing rank, residual-degree-of-freedom or multicollinearity criteria are not inferentially evaluable."
data/gsema_software_failure_log.csv,Deduplicated software diagnostics from the unevaluable Singscore run,unique software diagnostic,attempt_id,Software diagnostics only; not analytical evidence and not counted in any result.
data/mtorc1_context_matrix.csv,mTORC1 evidence units kept in separate contexts,evidence-unit row,"source_layer, scoring_method, contrast_id",Context-specific evidence units are not pooled; unattributed duplicate software diagnostics were removed to a separate log.
data/GSE304361_program_support_summary.csv,Independent endpoint/context summary,program,program,Day-7 endpoint/context test only; not temporal validation.
data/final_claim_decision_table.csv,Claim-to-source decisions with public archive mappings,claim,claim_id,Interpretive audit table; archived_source_table maps claims to files in this ZIP where available.
provenance/final_calibration_protocol_2026-07-29.md,Documented final null-analysis protocol,protocol document,not applicable,Protocol provenance; historical project paths are retained for auditability.
data/GSE205029_wt_sample_eligibility.csv,Wild-type sample-level retained-cell and mapping eligibility audit for GSE205029,deposited wild-type library,"gsm, nominal_timepoint",Metadata-only pre-outcome audit; cells are not biological replicates and no expression result is represented.
